# exposition=0.3;  scans=10
 3.04742004394531E+0002 2229
 3.05006011962891E+0002 2241
 3.05269012451172E+0002 2234
 3.05532012939453E+0002 2238
 3.05795989990234E+0002 2246
 3.06058990478516E+0002 2230
 3.06322998046875E+0002 2241
 3.06585998535156E+0002 2240
 3.06848999023438E+0002 2251
 3.07113006591797E+0002 2234
 3.07376007080078E+0002 2247
 3.07639007568359E+0002 2236
 3.07903015136719E+0002 2247
 3.08165985107422E+0002 2251
 3.08428985595703E+0002 2244
 3.08692993164063E+0002 2246
 3.08955993652344E+0002 2242
 3.09220001220703E+0002 2240
 3.09483001708984E+0002 2244
 3.09746002197266E+0002 2255
 3.10010009765625E+0002 2244
 3.10273010253906E+0002 2226
 3.10536010742188E+0002 2250
 3.10799987792969E+0002 2235
 3.11062988281250E+0002 2247
 3.11325988769531E+0002 2254
 3.11589996337891E+0002 2235
 3.11852996826172E+0002 2243
 3.12117004394531E+0002 2258
 3.12380004882813E+0002 2244
 3.12643005371094E+0002 2256
 3.12907012939453E+0002 2267
 3.13170013427734E+0002 2229
 3.13440002441406E+0002 2252
 3.13709014892578E+0002 2249
 3.13979003906250E+0002 2254
 3.14248992919922E+0002 2244
 3.14518005371094E+0002 2248
 3.14787994384766E+0002 2248
 3.15057006835938E+0002 2231
 3.15326995849609E+0002 2252
 3.15596984863281E+0002 2253
 3.15865997314453E+0002 2242
 3.16135986328125E+0002 2244
 3.16406005859375E+0002 2247
 3.16674987792969E+0002 2232
 3.16945007324219E+0002 2233
 3.17214996337891E+0002 2253
 3.17484008789063E+0002 2245
 3.17753997802734E+0002 2243
 3.18023986816406E+0002 2245
 3.18292999267578E+0002 2253
 3.18562988281250E+0002 2240
 3.18832000732422E+0002 2241
 3.19101989746094E+0002 2232
 3.19372009277344E+0002 2251
 3.19640991210938E+0002 2253
 3.19911010742188E+0002 2244
 3.20180999755859E+0002 2252
 3.20450012207031E+0002 2244
 3.20720001220703E+0002 2239
 3.20989990234375E+0002 2237
